issue_id,product_id,rule_name,severity,jurisdiction,issue_description,current_values,rule_explanation,confidence,migration_state,best_engine,recommended_fix,suggested_fix_1,suggested_fix_2,suggested_fix_3,selected_fix_id,manual_edit,user_action,review_notes,reviewer_name,reviewed_at_utc
29dc20128122,0000000000010,ca_allergen_evidence_missing_ingredients_text,warning,ca,This product violates the rule: allergen_evidence_present > 0.0 && ingredients_text_present == 0.0.,"allergen_evidence_present=1, ingredients_text_present=0, ingredients_text=","Allergen evidence is present, but ingredients text is missing.",0.9102,candidate,soda,Mark ingredients_text_present as 1 after confirming ingredients text exists on the label.,29dc20128122_set_ingredients_present | Mark ingredients_text_present as 1 after confirming ingredients text exists on the label. | confidence=0.77 | This keeps the allergen evidence and restores the expected supporting ingredients text signal.,29dc20128122_clear_allergen_evidence | Set allergen_evidence_present to 0 if the allergen evidence was recorded in error. | confidence=0.61 | Use this only if the allergen evidence flag is the incorrect field.,29dc20128122_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
9e18bf67f7a6,0000000000015,ca_allergen_evidence_missing_ingredients_text,warning,ca,This product violates the rule: allergen_evidence_present > 0.0 && ingredients_text_present == 0.0.,"allergen_evidence_present=1, ingredients_text_present=0, ingredients_text=","Allergen evidence is present, but ingredients text is missing.",0.9102,candidate,soda,Mark ingredients_text_present as 1 after confirming ingredients text exists on the label.,9e18bf67f7a6_set_ingredients_present | Mark ingredients_text_present as 1 after confirming ingredients text exists on the label. | confidence=0.77 | This keeps the allergen evidence and restores the expected supporting ingredients text signal.,9e18bf67f7a6_clear_allergen_evidence | Set allergen_evidence_present to 0 if the allergen evidence was recorded in error. | confidence=0.61 | Use this only if the allergen evidence flag is the incorrect field.,9e18bf67f7a6_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
f67454075bd6,0000000000019,ca_allergen_evidence_missing_ingredients_text,warning,ca,This product violates the rule: allergen_evidence_present > 0.0 && ingredients_text_present == 0.0.,"allergen_evidence_present=1, ingredients_text_present=0, ingredients_text=","Allergen evidence is present, but ingredients text is missing.",0.9102,candidate,soda,Mark ingredients_text_present as 1 after confirming ingredients text exists on the label.,f67454075bd6_set_ingredients_present | Mark ingredients_text_present as 1 after confirming ingredients text exists on the label. | confidence=0.77 | This keeps the allergen evidence and restores the expected supporting ingredients text signal.,f67454075bd6_clear_allergen_evidence | Set allergen_evidence_present to 0 if the allergen evidence was recorded in error. | confidence=0.61 | Use this only if the allergen evidence flag is the incorrect field.,f67454075bd6_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
93ff5d8ee667,0000000000031,ca_allergen_evidence_missing_ingredients_text,warning,ca,This product violates the rule: allergen_evidence_present > 0.0 && ingredients_text_present == 0.0.,"allergen_evidence_present=1, ingredients_text_present=0, ingredients_text=","Allergen evidence is present, but ingredients text is missing.",0.9102,candidate,soda,Mark ingredients_text_present as 1 after confirming ingredients text exists on the label.,93ff5d8ee667_set_ingredients_present | Mark ingredients_text_present as 1 after confirming ingredients text exists on the label. | confidence=0.77 | This keeps the allergen evidence and restores the expected supporting ingredients text signal.,93ff5d8ee667_clear_allergen_evidence | Set allergen_evidence_present to 0 if the allergen evidence was recorded in error. | confidence=0.61 | Use this only if the allergen evidence flag is the incorrect field.,93ff5d8ee667_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
108675ba8be2,0000000000036,ca_allergen_evidence_missing_ingredients_text,warning,ca,This product violates the rule: allergen_evidence_present > 0.0 && ingredients_text_present == 0.0.,"allergen_evidence_present=1, ingredients_text_present=0, ingredients_text=","Allergen evidence is present, but ingredients text is missing.",0.9102,candidate,soda,Mark ingredients_text_present as 1 after confirming ingredients text exists on the label.,108675ba8be2_set_ingredients_present | Mark ingredients_text_present as 1 after confirming ingredients text exists on the label. | confidence=0.77 | This keeps the allergen evidence and restores the expected supporting ingredients text signal.,108675ba8be2_clear_allergen_evidence | Set allergen_evidence_present to 0 if the allergen evidence was recorded in error. | confidence=0.61 | Use this only if the allergen evidence flag is the incorrect field.,108675ba8be2_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
3b5f2261387f,0000000000043,ca_allergen_evidence_missing_ingredients_text,warning,ca,This product violates the rule: allergen_evidence_present > 0.0 && ingredients_text_present == 0.0.,"allergen_evidence_present=1, ingredients_text_present=0, ingredients_text=","Allergen evidence is present, but ingredients text is missing.",0.9102,candidate,soda,Mark ingredients_text_present as 1 after confirming ingredients text exists on the label.,3b5f2261387f_set_ingredients_present | Mark ingredients_text_present as 1 after confirming ingredients text exists on the label. | confidence=0.77 | This keeps the allergen evidence and restores the expected supporting ingredients text signal.,3b5f2261387f_clear_allergen_evidence | Set allergen_evidence_present to 0 if the allergen evidence was recorded in error. | confidence=0.61 | Use this only if the allergen evidence flag is the incorrect field.,3b5f2261387f_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
22bc1cadbddb,0000000000044,ca_allergen_evidence_missing_ingredients_text,warning,ca,This product violates the rule: allergen_evidence_present > 0.0 && ingredients_text_present == 0.0.,"allergen_evidence_present=1, ingredients_text_present=0, ingredients_text=","Allergen evidence is present, but ingredients text is missing.",0.9102,candidate,soda,Mark ingredients_text_present as 1 after confirming ingredients text exists on the label.,22bc1cadbddb_set_ingredients_present | Mark ingredients_text_present as 1 after confirming ingredients text exists on the label. | confidence=0.77 | This keeps the allergen evidence and restores the expected supporting ingredients text signal.,22bc1cadbddb_clear_allergen_evidence | Set allergen_evidence_present to 0 if the allergen evidence was recorded in error. | confidence=0.61 | Use this only if the allergen evidence flag is the incorrect field.,22bc1cadbddb_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
35cffd5823d8,0000000000048,ca_allergen_evidence_missing_ingredients_text,warning,ca,This product violates the rule: allergen_evidence_present > 0.0 && ingredients_text_present == 0.0.,"allergen_evidence_present=1, ingredients_text_present=0, ingredients_text=","Allergen evidence is present, but ingredients text is missing.",0.9102,candidate,soda,Mark ingredients_text_present as 1 after confirming ingredients text exists on the label.,35cffd5823d8_set_ingredients_present | Mark ingredients_text_present as 1 after confirming ingredients text exists on the label. | confidence=0.77 | This keeps the allergen evidence and restores the expected supporting ingredients text signal.,35cffd5823d8_clear_allergen_evidence | Set allergen_evidence_present to 0 if the allergen evidence was recorded in error. | confidence=0.61 | Use this only if the allergen evidence flag is the incorrect field.,35cffd5823d8_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
29d022e7bab0,0000000000052,ca_allergen_evidence_missing_ingredients_text,warning,ca,This product violates the rule: allergen_evidence_present > 0.0 && ingredients_text_present == 0.0.,"allergen_evidence_present=1, ingredients_text_present=0, ingredients_text=","Allergen evidence is present, but ingredients text is missing.",0.9102,candidate,soda,Mark ingredients_text_present as 1 after confirming ingredients text exists on the label.,29d022e7bab0_set_ingredients_present | Mark ingredients_text_present as 1 after confirming ingredients text exists on the label. | confidence=0.77 | This keeps the allergen evidence and restores the expected supporting ingredients text signal.,29d022e7bab0_clear_allergen_evidence | Set allergen_evidence_present to 0 if the allergen evidence was recorded in error. | confidence=0.61 | Use this only if the allergen evidence flag is the incorrect field.,29d022e7bab0_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
37c471d4997a,0000000000056,ca_allergen_evidence_missing_ingredients_text,warning,ca,This product violates the rule: allergen_evidence_present > 0.0 && ingredients_text_present == 0.0.,"allergen_evidence_present=1, ingredients_text_present=0, ingredients_text=","Allergen evidence is present, but ingredients text is missing.",0.9102,candidate,soda,Mark ingredients_text_present as 1 after confirming ingredients text exists on the label.,37c471d4997a_set_ingredients_present | Mark ingredients_text_present as 1 after confirming ingredients text exists on the label. | confidence=0.77 | This keeps the allergen evidence and restores the expected supporting ingredients text signal.,37c471d4997a_clear_allergen_evidence | Set allergen_evidence_present to 0 if the allergen evidence was recorded in error. | confidence=0.61 | Use this only if the allergen evidence flag is the incorrect field.,37c471d4997a_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
32458c3e80ed,0000000000016,ca_contains_statement_without_allergen_evidence,warning,ca,This product violates the rule: contains_statement_present > 0.0 && allergen_evidence_present == 0.0.,"contains_statement_present=1, allergen_evidence_present=0",A contains statement exists without recorded allergen evidence.,0.8005,candidate,dbt,Set allergen_evidence_present to 1.,32458c3e80ed_set_allergen_evidence | Set allergen_evidence_present to 1. | confidence=0.79 | This is the most direct fix when the contains statement is correct but the evidence flag is missing.,32458c3e80ed_clear_contains_statement | Set contains_statement_present to 0 if the contains statement was added by mistake. | confidence=0.63 | Use this if the contains statement should not be present for the product.,32458c3e80ed_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
9604ac767d57,0000000000037,ca_contains_statement_without_allergen_evidence,warning,ca,This product violates the rule: contains_statement_present > 0.0 && allergen_evidence_present == 0.0.,"contains_statement_present=1, allergen_evidence_present=0",A contains statement exists without recorded allergen evidence.,0.8005,candidate,dbt,Set allergen_evidence_present to 1.,9604ac767d57_set_allergen_evidence | Set allergen_evidence_present to 1. | confidence=0.79 | This is the most direct fix when the contains statement is correct but the evidence flag is missing.,9604ac767d57_clear_contains_statement | Set contains_statement_present to 0 if the contains statement was added by mistake. | confidence=0.63 | Use this if the contains statement should not be present for the product.,9604ac767d57_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
2ce919188d9f,0000000000058,ca_contains_statement_without_allergen_evidence,warning,ca,This product violates the rule: contains_statement_present > 0.0 && allergen_evidence_present == 0.0.,"contains_statement_present=1, allergen_evidence_present=0",A contains statement exists without recorded allergen evidence.,0.8005,candidate,dbt,Set allergen_evidence_present to 1.,2ce919188d9f_set_allergen_evidence | Set allergen_evidence_present to 1. | confidence=0.79 | This is the most direct fix when the contains statement is correct but the evidence flag is missing.,2ce919188d9f_clear_contains_statement | Set contains_statement_present to 0 if the contains statement was added by mistake. | confidence=0.63 | Use this if the contains statement should not be present for the product.,2ce919188d9f_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
0861ea401dc9,0000000000079,ca_contains_statement_without_allergen_evidence,warning,ca,This product violates the rule: contains_statement_present > 0.0 && allergen_evidence_present == 0.0.,"contains_statement_present=1, allergen_evidence_present=0",A contains statement exists without recorded allergen evidence.,0.8005,candidate,dbt,Set allergen_evidence_present to 1.,0861ea401dc9_set_allergen_evidence | Set allergen_evidence_present to 1. | confidence=0.79 | This is the most direct fix when the contains statement is correct but the evidence flag is missing.,0861ea401dc9_clear_contains_statement | Set contains_statement_present to 0 if the contains statement was added by mistake. | confidence=0.63 | Use this if the contains statement should not be present for the product.,0861ea401dc9_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
